Year,Park,ParkVisitorCount,ParkPctChange,StateVisitorCount,StatePctChange
2012,Sunset Crater Volcano NM,"177,793",-4.03%,"9,979,972",-1.53%
2012,Tonto NM,"51,881",-2.89%,"9,979,972",-1.53%
2012,Tumacacori NHP,"35,158",4.20%,"9,979,972",-1.53%
2012,Tuzigoot NM,"97,388",-3.68%,"9,979,972",-1.53%
2012,Walnut Canyon NM,"110,748",-11.40%,"9,979,972",-1.53%
2012,Wupatki NM,"201,365",-6.85%,"9,979,972",-1.53%
2012,Arkansas Post NMEM,"39,703",6.94%,"2,727,454",-5.28%
2012,Buffalo NR,"1,093,083",-6.56%,"2,727,454",-5.28%
2012,Fort Smith NHS,"87,386",1.47%,"2,727,454",-5.28%
2012,Hot Springs NP,"1,302,505",-6.72%,"2,727,454",-5.28%
2012,Little Rock Central High School NHS,"63,938",-3.28%,"2,727,454",-5.28%
2012,Pea Ridge NMP,"131,907",15.47%,"2,727,454",-5.28%
2012,President W.J. Clinton Birthplace Home NHS,"8,932",-8.38%,"2,727,454",-5.28%
2012,Cabrillo NM,"877,951",7.94%,"35,991,200",1.53%
2012,Channel Islands NP,"249,594",2.82%,"35,991,200",1.53%
2012,Death Valley NP,"984,568",3.98%,"35,991,200",1.53%
2012,Devils Postpile NM,"87,845",-9.63%,"35,991,200",1.53%
2012,Eugene O'Neill NHS,"2,789",7.56%,"35,991,200",1.53%
2012,Fort Point NHS,"1,502,786",12.27%,"35,991,200",1.53%
2012,Golden Gate NRA,"14,540,338",-0.19%,"35,991,200",1.53%
2012,John Muir NHS,"37,403",19.74%,"35,991,200",1.53%
2012,Joshua Tree NP,"1,396,117",-0.01%,"35,991,200",1.53%
2012,Kings Canyon NP,"591,033",4.27%,"35,991,200",1.53%
2012,Lassen Volcanic NP,"407,653",16.05%,"35,991,200",1.53%
2012,Lava Beds NM,"181,429",46.18%,"35,991,200",1.53%
2012,Manzanar NHS,"72,831",-8.49%,"35,991,200",1.53%
2012,Mojave NPRES,"542,527",1.22%,"35,991,200",1.53%
2012,Muir Woods NM,"972,331",8.38%,"35,991,200",1.53%
2012,Pinnacles NP,"224,476",-42.91%,"35,991,200",1.53%
2012,Point Reyes NS,"2,412,663",13.32%,"35,991,200",1.53%
2012,Port Chicago Naval Magazine NMEM,533,-2.20%,"35,991,200",1.53%
2012,Redwood NP,"352,517",-7.27%,"35,991,200",1.53%
2012,San Francisco Maritime NHP,"4,129,983",-2.25%,"35,991,200",1.53%
2012,Santa Monica Mountains NRA,"649,471",6.53%,"35,991,200",1.53%
2012,Sequoia NP,"1,106,584",9.93%,"35,991,200",1.53%
2012,Whiskeytown NRA,"814,374",6.91%,"35,991,200",1.53%
2012,Yosemite NP,"3,853,404",-2.48%,"35,991,200",1.53%
2012,Bent's Old Fort NHS,"25,815",-3.83%,"5,811,546",-0.13%
2012,Black Canyon of the Gunnison NP,"192,570",14.40%,"5,811,546",-0.13%
2012,Colorado NM,"454,510",4.37%,"5,811,546",-0.13%
2012,Curecanti NRA,"862,612",-6.69%,"5,811,546",-0.13%
2012,Dinosaur NM,"224,115",41.81%,"5,811,546",-0.13%
2012,Florissant Fossil Beds NM,"62,637",2.20%,"5,811,546",-0.13%
2012,Great Sand Dunes NP & PRES,"254,674",-9.06%,"5,811,546",-0.13%
2012,Hovenweep NM,"11,752",3.29%,"5,811,546",-0.13%
2012,Mesa Verde NP,"488,860",-14.58%,"5,811,546",-0.13%
2012,Rocky Mountain NP,"3,229,617",1.66%,"5,811,546",-0.13%
2012,Sand Creek Massacre NHS,"4,384",11.41%,"5,811,546",-0.13%
2012,Weir Farm NHS,"21,465",-4.24%,"21,465",-4.24%
2012,Chesapeake & Ohio Canal NHP,"1,130,970",19.68%,"34,286,073",12.12%
2012,Ford's Theatre NHS,"701,542",9.14%,"34,286,073",12.12%
2012,Franklin Delano Roosevelt MEM,"2,764,459",19.69%,"34,286,073",12.12%
2012,Frederick Douglass NHS,"53,314",14.18%,"34,286,073",12.12%
2012,Korean War Veterans Memorial,"3,267,124",6.30%,"34,286,073",12.12%
2012,Lincoln Memorial,"6,191,361",3.69%,"34,286,073",12.12%
2012,"Martin Luther King, Jr. Memorial","3,738,336",150.83%,"34,286,073",12.12%
2012,Mary McLeod Bethune Council House NHS,"6,646",-63.37%,"34,286,073",12.12%
2012,National Capital Parks Central,"858,700",-30.79%,"34,286,073",12.12%
2012,National Capital Parks East,"830,749",-20.93%,"34,286,073",12.12%
2012,Pennsylvania Avenue NHS,"283,232",19.94%,"34,286,073",12.12%
2012,President's Park,"600,083",-23.67%,"34,286,073",12.12%
2012,Rock Creek Park,"2,003,385",-2.30%,"34,286,073",12.12%
2012,Thomas Jefferson MEM,"2,613,131",34.30%,"34,286,073",12.12%
2012,Vietnam Veterans MEM,"4,424,407",10.06%,"34,286,073",12.12%
2012,Washington Monument,0,-100.00%,"34,286,073",12.12%
2012,White House,"656,949",15.24%,"34,286,073",12.12%
2012,World War II Memorial,"4,161,685",10.91%,"34,286,073",12.12%
2012,Big Cypress NPRES,"882,570",-6.25%,"10,366,613",-2.02%
2012,Biscayne NP,"495,613",4.10%,"10,366,613",-2.02%
2012,Canaveral NS,"994,430",-1.05%,"10,366,613",-2.02%
2012,Castillo de San Marcos NM,"727,243",-1.86%,"10,366,613",-2.02%
2012,De Soto NMEM,"432,981",21.74%,"10,366,613",-2.02%
2012,Dry Tortugas NP,"60,550",-19.45%,"10,366,613",-2.02%
2012,Everglades NP,"1,141,906",22.21%,"10,366,613",-2.02%
2012,Fort Caroline NMEM,"327,339",0.36%,"10,366,613",-2.02%
2012,Fort Matanzas NM,"497,574",-12.81%,"10,366,613",-2.02%
2012,Gulf Islands NS,"3,730,097",-9.60%,"10,366,613",-2.02%
2012,Timucuan EHP,"1,076,310",4.61%,"10,366,613",-2.02%
2012,Andersonville NHS,"122,883",12.93%,"7,350,309",2.55%
2012,Chattahoochee River NRA,"3,168,137",0.22%,"7,350,309",2.55%
2012,Chickamauga & Chattanooga NMP,"516,422",-0.37%,"7,350,309",2.55%
2012,Cumberland Island NS,"61,493",-17.21%,"7,350,309",2.55%
2012,Fort Frederica NM,"262,235",-10.51%,"7,350,309",2.55%
2012,Fort Pulaski NM,"385,751",-5.48%,"7,350,309",2.55%
2012,Jimmy Carter NHS,"69,940",5.72%,"7,350,309",2.55%
2012,Kennesaw Mountain NBP,"1,935,909",10.72%,"7,350,309",2.55%
2012,"Martin Luther King, Jr. NHP","707,514",6.16%,"7,350,309",2.55%
2012,Ocmulgee Mounds NHP,"120,025",-2.20%,"7,350,309",2.55%
2012,War in the Pacific NHP,"255,923",-46.95%,"255,923",-46.95%
2012,Haleakala NP,"1,094,668",14.39%,"5,119,035",7.00%
2012,Hawaii Volcanoes NP,"1,483,928",9.75%,"5,119,035",7.00%
2012,Kalaupapa NHP,"58,875",1.79%,"5,119,035",7.00%
2012,Kaloko Honokohau NHP,"153,584",-5.72%,"5,119,035",7.00%
2012,Pearl Harbor NMEM,"1,751,224",3.32%,"5,119,035",7.00%
2012,Pu'uhonua o Honaunau NHP,"442,353",3.78%,"5,119,035",7.00%
2012,Pu'ukohola Heiau NHS,"134,403",0.82%,"5,119,035",7.00%
2012,City of Rocks NRES,"98,996",3.37%,"553,554",-8.00%
2012,Craters of the Moon NM & PRES,"197,529",-0.51%,"553,554",-8.00%
2012,Hagerman Fossil Beds NM,"23,936",13.44%,"553,554",-8.00%
2012,Nez Perce NHP,"233,093",-18.57%,"553,554",-8.00%
2012,Lincoln Home NHS,"295,464",-0.25%,"295,464",-0.25%
2012,George Rogers Clark NHP,"125,972",-13.48%,"2,148,903",2.60%
2012,Indiana Dunes NP,"1,889,381",2.66%,"2,148,903",2.60%
2012,Lincoln Boyhood NMEM,"133,550",23.18%,"2,148,903",2.60%
2012,Effigy Mounds NM,"78,540",-4.89%,"207,352",-4.37%
2012,Herbert Hoover NHS,"128,812",-4.05%,"207,352",-4.37%
2012,Brown v. Board of Education NHS,"21,101",24.96%,"101,752",12.58%
2012,Fort Larned NHS,"33,194",24.30%,"101,752",12.58%
2012,Fort Scott NHS,"25,034",-4.52%,"101,752",12.58%
2012,Nicodemus NHS,"3,505",30.73%,"101,752",12.58%
2012,Tallgrass Prairie NPRES,"18,918",5.73%,"101,752",12.58%
2012,Abraham Lincoln Birthplace NHP,"169,515",3.64%,"1,717,853",3.08%
2012,Big South Fork NRRA,"246,066",-1.06%,"1,717,853",3.08%
2012,Cumberland Gap NHP,"794,218",3.02%,"1,717,853",3.08%
2012,Mammoth Cave NP,"508,054",5.12%,"1,717,853",3.08%
2012,Cane River Creole NHP,"28,310",4.87%,"625,913",8.34%
2012,Jean Lafitte NHP & PRES,"419,694",-0.16%,"625,913",8.34%
2012,New Orleans Jazz NHP,"177,909",36.44%,"625,913",8.34%
2012,Acadia NP,"2,431,052",2.38%,"2,431,052",2.38%
2012,Antietam NB,"510,921",32.71%,"6,658,643",9.80%
2012,Assateague Island NS,"711,103",2.35%,"6,658,643",9.80%
2012,Catoctin Mountain Park,"263,797",-0.25%,"6,658,643",9.80%
2012,Chesapeake & Ohio Canal NHP,"3,581,407",19.68%,"6,658,643",9.80%
2012,Clara Barton NHS,"25,347",62.27%,"6,658,643",9.80%
2012,Fort McHenry NM & HS,"744,076",16.03%,"6,658,643",9.80%
2012,Fort Washington Park,"368,824",-9.91%,"6,658,643",9.80%
2012,Greenbelt Park,"145,552",-23.57%,"6,658,643",9.80%
2012,Hampton NHS,"37,529",16.68%,"6,658,643",9.80%
2012,Monocacy NB,"47,249",28.84%,"6,658,643",9.80%
2012,National Capital Parks East,"92,305",-20.93%,"6,658,643",9.80%
2012,Piscataway Park,"124,107",-55.53%,"6,658,643",9.80%
2012,Thomas Stone NHS,"6,426",1.18%,"6,658,643",9.80%
2012,Adams NHP,"336,031",52.76%,"10,487,447",2.50%
2012,Boston African American NHS,"404,248",6.41%,"10,487,447",2.50%
2012,Boston NHP,"2,629,064",3.26%,"10,487,447",2.50%
2012,Cape Cod NS,"4,441,290",-0.30%,"10,487,447",2.50%
2012,Frederick Law Olmsted NHS,"8,668",115.51%,"10,487,447",2.50%
2012,John F. Kennedy NHS,"22,642",22.61%,"10,487,447",2.50%
2012,Longfellow House Washington's HQ NHS,"52,234",12.10%,"10,487,447",2.50%
2012,Lowell NHP,"537,551",3.29%,"10,487,447",2.50%
2012,Minute Man NHP,"1,001,207",-0.16%,"10,487,447",2.50%
2012,New Bedford Whaling NHP,"269,885",-1.45%,"10,487,447",2.50%
2012,Salem Maritime NHS,"756,038",2.57%,"10,487,447",2.50%
2012,Saugus Iron Works NHS,"11,611",4.41%,"10,487,447",2.50%
2012,Springfield Armory NHS,"16,978",5.06%,"10,487,447",2.50%
2012,Isle Royale NP,"16,663",4.85%,"2,192,477",11.78%
2012,Pictured Rocks NL,"593,587",5.79%,"2,192,477",11.78%
2012,River Raisin NBP,"50,667",39.94%,"2,192,477",11.78%
2012,Sleeping Bear Dunes NL,"1,531,560",13.59%,"2,192,477",11.78%
2012,Grand Portage NM,"93,156",-4.40%,"601,274",4.97%
2012,Mississippi NRRA,"106,733",7.38%,"601,274",4.97%
2012,Pipestone NM,"76,030",22.81%,"601,274",4.97%
2012,Saint Croix NSR,"110,514",-19.25%,"601,274",4.97%
2012,Voyageurs NP,"214,841",21.25%,"601,274",4.97%
2012,Gulf Islands NS,"1,243,366",-9.60%,"6,449,713",-7.73%
2012,Natchez NHP,"184,551",-10.68%,"6,449,713",-7.73%
2012,Natchez Trace PKWY,"4,448,534",-3.55%,"6,449,713",-7.73%
2012,Vicksburg NMP,"573,262",-27.99%,"6,449,713",-7.73%
2012,Gateway Arch NP,"2,496,726",10.52%,"4,171,826",6.61%
2012,George Washington Carver NM,"30,425",-1.18%,"4,171,826",6.61%
2012,Harry S Truman NHS,"31,316",8.27%,"4,171,826",6.61%
2012,Ozark NSR,"1,406,781",2.99%,"4,171,826",6.61%
2012,Ulysses S. Grant NHS,"39,373",10.40%,"4,171,826",6.61%
2012,Wilson's Creek NB,"167,205",-13.30%,"4,171,826",6.61%
2012,Big Hole NB,"35,207",-2.98%,"4,451,755",9.60%
2012,Bighorn Canyon NRA,"132,749",22.30%,"4,451,755",9.60%
2012,Glacier NP,"2,162,035",16.64%,"4,451,755",9.60%
2012,Grant-Kohrs Ranch NHS,"17,095",-15.76%,"4,451,755",9.60%
2012,Little Bighorn Battlefield NM,"346,327",10.94%,"4,451,755",9.60%
2012,Yellowstone NP,"1,758,342",1.57%,"4,451,755",9.60%
2012,Agate Fossil Beds NM,"11,824",1.78%,"304,046",10.14%
2012,Homestead NM of America,"103,708",48.48%,"304,046",10.14%
2012,Niobrara NSR,"65,999",0.33%,"304,046",10.14%
2012,Scotts Bluff NM,"122,515",-4.89%,"304,046",10.14%
2012,Death Valley NP,,,"4,808,929",-1.64%
2012,Great Basin NP,"94,850",3.72%,"4,808,929",-1.64%
2012,Lake Mead NRA,"4,714,079",-1.74%,"4,808,929",-1.64%
2012,Saint-Gaudens NHP,"33,663",2.96%,"33,663",2.96%
2012,Delaware Water Gap NRA,"3,529,269",-0.32%,"4,885,202",-8.82%
2012,Gateway NRA,"1,008,773",-34.48%,"4,885,202",-8.82%
2012,Morristown NHP,"294,606",32.47%,"4,885,202",-8.82%
2012,Thomas Edison NHP,"52,554",-4.94%,"4,885,202",-8.82%
2012,Aztec Ruins NM,"44,744",8.85%,"1,502,808",0.78%
2012,Bandelier NM,"150,289",-22.50%,"1,502,808",0.78%
2012,Capulin Volcano NM,"48,710",5.07%,"1,502,808",0.78%
2012,Carlsbad Caverns NP,"381,058",4.40%,"1,502,808",0.78%
2012,Chaco Culture NHP,"39,044",-0.33%,"1,502,808",0.78%
2012,El Malpais NM,"114,678",8.85%,"1,502,808",0.78%
2012,El Morro NM,"44,808",-7.29%,"1,502,808",0.78%
2012,Fort Union NM,"9,215",-3.76%,"1,502,808",0.78%
2012,Gila Cliff Dwellings NM,"28,637",13.11%,"1,502,808",0.78%
2012,Pecos NHP,"45,568",3.86%,"1,502,808",0.78%
2012,Petroglyph NM,"119,444",4.38%,"1,502,808",0.78%
2012,Salinas Pueblo Missions NM,"29,228",-1.87%,"1,502,808",0.78%
2012,White Sands NP,"447,385",4.30%,"1,502,808",0.78%
2012,African Burial Ground NM,"77,624",-28.51%,"12,633,278",-22.05%
2012,Castle Clinton NM,"3,264,439",-18.09%,"12,633,278",-22.05%
2012,Eleanor Roosevelt NHS,"55,049",9.94%,"12,633,278",-22.05%
2012,Federal Hall NMEM,"167,146",-10.67%,"12,633,278",-22.05%
2012,Fire Island NS,"483,334",-6.90%,"12,633,278",-22.05%
2012,Fort Stanwix NM,"195,057",89.61%,"12,633,278",-22.05%
2012,Gateway NRA,"4,035,090",-34.48%,"12,633,278",-22.05%
2012,General Grant NMEM,"92,418",-11.79%,"12,633,278",-22.05%
2012,Governors Island NM,"348,249",-13.41%,"12,633,278",-22.05%
2012,Hamilton Grange NMEM,"16,358",109.26%,"12,633,278",-22.05%
2012,Home of Franklin D. Roosevelt NHS,"135,746",8.17%,"12,633,278",-22.05%
2012,Martin Van Buren NHS,"22,062",14.39%,"12,633,278",-22.05%
2012,Sagamore Hill NHS,"20,097",-62.32%,"12,633,278",-22.05%
2012,Saint Paul's Church NHS,"16,188",8.46%,"12,633,278",-22.05%
2012,Saratoga NHP,"57,688",-11.31%,"12,633,278",-22.05%
2012,Statue of Liberty NM,"3,029,443",-19.21%,"12,633,278",-22.05%
2012,Theodore Roosevelt Birthplace NHS,"17,930",174.28%,"12,633,278",-22.05%
2012,Theodore Roosevelt Inaugural NHS,"18,875",10.33%,"12,633,278",-22.05%
2012,Upper Delaware S&RR,"127,793",-5.48%,"12,633,278",-22.05%
2012,Vanderbilt Mansion NHS,"423,107",15.07%,"12,633,278",-22.05%
2012,Women's Rights NHP,"29,585",16.36%,"12,633,278",-22.05%
2012,Blue Ridge PKWY,"9,427,137",-1.15%,"17,706,032",2.99%
2012,Cape Hatteras NS,"2,302,040",17.41%,"17,706,032",2.99%
2012,Cape Lookout NS,"480,294",-5.48%,"17,706,032",2.99%
2012,Carl Sandburg Home NHS,"93,429",4.13%,"17,706,032",2.99%
2012,Fort Raleigh NHS,"281,833",-0.11%,"17,706,032",2.99%
2012,Great Smoky Mountains NP,"4,261,765",7.51%,"17,706,032",2.99%
2012,Guilford Courthouse NMP,"313,374",-9.59%,"17,706,032",2.99%
2012,Moores Creek NB,"79,345",36.52%,"17,706,032",2.99%
2012,Wright Brothers NMEM,"466,816",4.80%,"17,706,032",2.99%
2012,Fort Union Trading Post NHS,"12,677",3.60%,"669,242",13.11%
2012,Knife River Indian Villages NHS,"16,010",-0.09%,"669,242",13.11%
2012,Theodore Roosevelt NP,"640,555",13.69%,"669,242",13.11%
2012,Cuyahoga Valley NP,"2,299,722",6.41%,"2,611,158",8.03%
2012,Dayton Aviation Heritage NHP,"65,999",-3.01%,"2,611,158",8.03%
2012,First Ladies NHS,"9,903",19.98%,"2,611,158",8.03%
2012,Hopewell Culture NHP,"39,462",16.63%,"2,611,158",8.03%
2012,James A. Garfield NHS,"36,375",15.48%,"2,611,158",8.03%
2012,Perry's Victory & Intl. Peace MEM,"140,281",50.65%,"2,611,158",8.03%
2012,William Howard Taft NHS,"19,416",-8.16%,"2,611,158",8.03%
2012,Chickasaw NRA,"1,487,039",22.68%,"1,497,654",22.44%
2012,Washita Battlefield NHS,"10,615",-3.46%,"1,497,654",22.44%
2012,Crater Lake NP,"447,251",5.60%,"875,271",4.25%
2012,John Day Fossil Beds NM,"148,152",0.10%,"875,271",4.25%
2012,Lewis & Clark NHP,"201,704",5.13%,"875,271",4.25%
2012,Oregon Caves NM & PRES,"78,164",2.59%,"875,271",4.25%
2012,Allegheny Portage Railroad NHS,"138,864",17.27%,"8,768,869",2.85%
2012,Delaware Water Gap NRA,"1,441,533",-0.32%,"8,768,869",2.85%
2012,Edgar Allan Poe NHS,"19,104",29.86%,"8,768,869",2.85%
2012,Eisenhower NHS,"53,286",-8.16%,"8,768,869",2.85%
2012,Flight 93 NMEM,"317,926",19.86%,"8,768,869",2.85%
2012,Fort Necessity NB,"187,893",-2.89%,"8,768,869",2.85%
2012,Friendship Hill NHS,"34,289",14.15%,"8,768,869",2.85%
2012,Gettysburg NMP,"1,126,577",0.17%,"8,768,869",2.85%
2012,Hopewell Furnace NHS,"52,870",17.82%,"8,768,869",2.85%
2012,Independence NHP,"3,594,549",0.61%,"8,768,869",2.85%
2012,Johnstown Flood NMEM,"123,081",16.22%,"8,768,869",2.85%
2012,Steamtown NHS,"106,309",-4.85%,"8,768,869",2.85%
2012,Thaddeus Kosciuszko NMEM,"2,045",4.93%,"8,768,869",2.85%
2012,Upper Delaware S&RR,"127,793",-5.48%,"8,768,869",2.85%
2012,Valley Forge NHP,"1,442,750",10.72%,"8,768,869",2.85%
2012,San Juan NHS,"1,279,814",4.08%,"1,279,814",4.08%
2012,Roger Williams NMEM,"51,944",2.03%,"51,944",2.03%
2012,Charles Pinckney NHS,"44,314",-2.08%,"1,566,756",-1.44%
2012,Congaree NP,"109,685",-8.72%,"1,566,756",-1.44%
2012,Cowpens NB,"231,973",3.59%,"1,566,756",-1.44%
2012,Fort Sumter and Fort Moultrie NHP,"842,027",-1.85%,"1,566,756",-1.44%
2012,Kings Mountain NMP,"265,713",-2.43%,"1,566,756",-1.44%
2012,Ninety Six NHS,"73,044",4.20%,"1,566,756",-1.44%
2012,Badlands NP,"883,406",1.45%,"3,950,666",3.76%
2012,Jewel Cave NM,"109,300",41.68%,"3,950,666",3.76%
2012,Minuteman Missile NHS,"75,654",27.39%,"3,950,666",3.76%
2012,Missouri NRR,"167,776",-6.78%,"3,950,666",3.76%
2012,Mount Rushmore NMEM,"2,185,447",4.98%,"3,950,666",3.76%
2012,Wind Cave NP,"529,083",-1.73%,"3,950,666",3.76%
2012,Andrew Johnson NHS,"51,261",-2.03%,"8,414,094",8.32%
2012,Big South Fork NRRA,"354,095",-1.06%,"8,414,094",8.32%
2012,Chickamauga & Chattanooga NMP,"516,422",-0.37%,"8,414,094",8.32%
2012,Fort Donelson NB,"284,762",10.63%,"8,414,094",8.32%
2012,Great Smoky Mountains NP,"5,424,064",7.51%,"8,414,094",8.32%
2012,Natchez Trace PKWY,"722,887",-3.55%,"8,414,094",8.32%
2012,Obed W&SR,"212,446",-0.01%,"8,414,094",8.32%
2012,Shiloh NMP,"587,620",51.52%,"8,414,094",8.32%
2012,Stones River NB,"260,537",39.17%,"8,414,094",8.32%
2012,Alibates Flint Quarries NM,"3,383",5.26%,"3,939,160",-6.47%
2012,Amistad NRA,"1,367,502",-4.82%,"3,939,160",-6.47%
2012,Big Bend NP,"292,055",-19.29%,"3,939,160",-6.47%
2012,Big Thicket NPRES,"135,262",-1.79%,"3,939,160",-6.47%
2012,Chamizal NMEM,"104,148",-8.50%,"3,939,160",-6.47%
2012,Fort Davis NHS,"38,136",8.56%,"3,939,160",-6.47%
2012,Guadalupe Mountains NP,"159,360",4.47%,"3,939,160",-6.47%
2012,Lake Meredith NRA,"502,457",-31.55%,"3,939,160",-6.47%
2012,Lyndon B. Johnson NHP,"110,791",10.73%,"3,939,160",-6.47%
2012,Padre Island NS,"573,855",5.71%,"3,939,160",-6.47%
2012,Palo Alto Battlefield NHP,"36,707",48.30%,"3,939,160",-6.47%
2012,Rio Grande W&SR,694,-20.50%,"3,939,160",-6.47%
2012,San Antonio Missions NHP,"614,810",8.24%,"3,939,160",-6.47%
2012,Arches NP,"1,070,577",2.87%,"9,503,304",2.39%
2012,Bryce Canyon NP,"1,385,352",6.89%,"9,503,304",2.39%
2012,Canyonlands NP,"452,952",-4.39%,"9,503,304",2.39%
2012,Capitol Reef NP,"673,345",0.67%,"9,503,304",2.39%
2012,Cedar Breaks NM,"631,809",28.12%,"9,503,304",2.39%
2012,Dinosaur NM,"78,743",41.81%,"9,503,304",2.39%
2012,Glen Canyon NRA,"1,896,422",-9.23%,"9,503,304",2.39%
2012,Golden Spike NHP,"42,551",-3.15%,"9,503,304",2.39%
2012,Hovenweep NM,"14,958",3.29%,"9,503,304",2.39%
2012,Natural Bridges NM,"89,011",-2.38%,"9,503,304",2.39%
2012,Rainbow Bridge NM,"75,214",-18.52%,"9,503,304",2.39%
2012,Timpanogos Cave NM,"118,764",22.48%,"9,503,304",2.39%
2012,Zion NP,"2,973,607",5.24%,"9,503,304",2.39%
2012,Marsh-Billings-Rockefeller NHP,"32,403",11.55%,"32,403",11.55%
2012,Buck Island Reef NM,"30,436",7.84%,"645,956",9.04%
2012,Christiansted NHS,"126,962",6.39%,"645,956",9.04%
2012,Salt River Bay NHP & Ecological Pres,"5,217",115.67%,"645,956",9.04%
2012,Virgin Islands NP,"483,341",9.25%,"645,956",9.04%
2012,Appomattox Court House NHP,"320,668",23.85%,"23,398,517",-0.26%
2012,Arlington House The R.E. Lee MEM,"562,772",-2.43%,"23,398,517",-0.26%
2012,Assateague Island NS,"1,443,756",2.35%,"23,398,517",-0.26%
2012,Blue Ridge PKWY,"5,777,922",-1.15%,"23,398,517",-0.26%
2012,Booker T. Washington NM,"24,361",1.38%,"23,398,517",-0.26%
2012,Colonial NHP,"3,274,187",-4.11%,"23,398,517",-0.26%
2012,Cumberland Gap NHP,"59,780",3.02%,"23,398,517",-0.26%
2012,Fredericksburg & Spotsylvania NMP,"982,324",8.09%,"23,398,517",-0.26%
2012,George Washington Birthplace NM,"134,824",3.20%,"23,398,517",-0.26%
2012,George Washington MEM PKWY,"7,425,577",0.11%,"23,398,517",-0.26%
2012,LBJ Memorial Grove on the Potomac,"371,063",55.22%,"23,398,517",-0.26%
2012,Maggie L. Walker NHS,"8,276",-23.22%,"23,398,517",-0.26%
2012,Manassas NBP,"600,354",-9.00%,"23,398,517",-0.26%
2012,Petersburg NB,"188,426",-11.65%,"23,398,517",-0.26%
2012,Prince William Forest Park,"280,325",-26.14%,"23,398,517",-0.26%
2012,Richmond NBP,"156,952",12.61%,"23,398,517",-0.26%
2012,Shenandoah NP,"1,210,200",0.03%,"23,398,517",-0.26%
2012,Theodore Roosevelt Island,"149,754",8.76%,"23,398,517",-0.26%
2012,Wolf Trap NP for the Performing Arts,"426,996",0.43%,"23,398,517",-0.26%
2012,Fort Vancouver NHS,"681,404",-4.09%,"7,529,549",1.49%
2012,Klondike Gold Rush NHP Seattle,"60,198",-7.24%,"7,529,549",1.49%
2012,Lake Chelan NRA,"40,830",-6.84%,"7,529,549",1.49%
2012,Lake Roosevelt NRA,"1,781,972",16.97%,"7,529,549",1.49%
2012,Mount Rainier NP,"1,049,178",1.05%,"7,529,549",1.49%
2012,North Cascades NP,"26,935",40.23%,"7,529,549",1.49%
2012,Olympic NP,"2,824,908",-4.77%,"7,529,549",1.49%
2012,Ross Lake NRA,"742,200",1.90%,"7,529,549",1.49%
