PK,State,Park,ParkVisitorCount,ParkPctChange,StateVisitorCount,StatePctChange
California Lava Beds NM,California,Lava Beds NM,"127,699",17.49%,"41,977,184",9.41%
California Manzanar NHS,California,Manzanar NHS,"105,307",10.47%,"41,977,184",9.41%
California Mojave NPRES,California,Mojave NPRES,"585,635",-0.60%,"41,977,184",9.41%
California Muir Woods NM,California,Muir Woods NM,"1,123,121",2.11%,"41,977,184",9.41%
California Pinnacles NP,California,Pinnacles NP,"215,555",4.37%,"41,977,184",9.41%
California Point Reyes NS,California,Point Reyes NS,"2,438,442",-2.51%,"41,977,184",9.41%
California Port Chicago Naval Magazine NMEM,California,Port Chicago Naval Magazine NMEM,"1,942",101.66%,"41,977,184",9.41%
California Redwood NP,California,Redwood NP,"536,297",1.74%,"41,977,184",9.41%
California Rosie The Riveter WWII Home Front NHP,California,Rosie The Riveter WWII Home Front NHP,"64,425",14.31%,"41,977,184",9.41%
California San Francisco Maritime NHP,California,San Francisco Maritime NHP,"4,334,752",3.88%,"41,977,184",9.41%
California Santa Monica Mountains NRA,California,Santa Monica Mountains NRA,"906,606",13.73%,"41,977,184",9.41%
California Sequoia NP,California,Sequoia NP,"1,254,688",14.33%,"41,977,184",9.41%
California Whiskeytown NRA,California,Whiskeytown NRA,"875,565",3.76%,"41,977,184",9.41%
California Yosemite NP,California,Yosemite NP,"5,028,868",21.17%,"41,977,184",9.41%
Colorado Bent's Old Fort NHS,Colorado,Bent's Old Fort NHS,"31,948",21.85%,"7,457,420",5.37%
Colorado Black Canyon of the Gunnison NP,Colorado,Black Canyon of the Gunnison NP,"238,018",13.79%,"7,457,420",5.37%
Colorado Colorado NM,Colorado,Colorado NM,"391,075",-33.49%,"7,457,420",5.37%
Colorado Curecanti NRA,Colorado,Curecanti NRA,"982,498",4.00%,"7,457,420",5.37%
Colorado Dinosaur NM,Colorado,Dinosaur NM,"225,191",4.29%,"7,457,420",5.37%
Colorado Florissant Fossil Beds NM,Colorado,Florissant Fossil Beds NM,"73,564",6.41%,"7,457,420",5.37%
Colorado Great Sand Dunes NP & PRES,Colorado,Great Sand Dunes NP & PRES,"388,308",29.65%,"7,457,420",5.37%
Colorado Hovenweep NM,Colorado,Hovenweep NM,"18,859",22.05%,"7,457,420",5.37%
Colorado Mesa Verde NP,Colorado,Mesa Verde NP,"583,527",6.61%,"7,457,420",5.37%
Colorado Rocky Mountain NP,Colorado,Rocky Mountain NP,"4,517,585",8.70%,"7,457,420",5.37%
Colorado Sand Creek Massacre NHS,Colorado,Sand Creek Massacre NHS,"6,847",16.31%,"7,457,420",5.37%
Connecticut Weir Farm NHS,Connecticut,Weir Farm NHS,"39,079",-17.24%,"39,079",-17.24%
District of Columbia Belmont-Paul Women's Equality NM,District of Columbia,Belmont-Paul Women's Equality NM,"2,704",,"42,700,159",2.15%
District of Columbia Chesapeake & Ohio Canal NHP,District of Columbia,Chesapeake & Ohio Canal NHP,"1,155,139",0.31%,"42,700,159",2.15%
District of Columbia Ford's Theatre NHS,District of Columbia,Ford's Theatre NHS,"650,779",-4.51%,"42,700,159",2.15%
District of Columbia Franklin Delano Roosevelt MEM,District of Columbia,Franklin Delano Roosevelt MEM,"4,360,502",32.53%,"42,700,159",2.15%
District of Columbia Frederick Douglass NHS,District of Columbia,Frederick Douglass NHS,"67,387",25.08%,"42,700,159",2.15%
District of Columbia Korean War Veterans Memorial,District of Columbia,Korean War Veterans Memorial,"4,084,298",0.16%,"42,700,159",2.15%
District of Columbia Lincoln Memorial,District of Columbia,Lincoln Memorial,"7,915,934",-0.33%,"42,700,159",2.15%
"District of Columbia Martin Luther King, Jr. Memorial",District of Columbia,"Martin Luther King, Jr. Memorial","3,638,208",3.05%,"42,700,159",2.15%
District of Columbia Mary McLeod Bethune Council House NHS,District of Columbia,Mary McLeod Bethune Council House NHS,"7,149",-13.33%,"42,700,159",2.15%
District of Columbia National Capital Parks Central,District of Columbia,National Capital Parks Central,"1,813,222",-1.08%,"42,700,159",2.15%
District of Columbia National Capital Parks East,District of Columbia,National Capital Parks East,"1,102,204",0.35%,"42,700,159",2.15%
District of Columbia Pennsylvania Avenue NHS,District of Columbia,Pennsylvania Avenue NHS,0,,"42,700,159",2.15%
District of Columbia President's Park,District of Columbia,President's Park,"989,424",9.55%,"42,700,159",2.15%
District of Columbia Rock Creek Park,District of Columbia,Rock Creek Park,"2,478,735",1.43%,"42,700,159",2.15%
District of Columbia Thomas Jefferson MEM,District of Columbia,Thomas Jefferson MEM,"3,414,345",10.05%,"42,700,159",2.15%
District of Columbia Vietnam Veterans MEM,District of Columbia,Vietnam Veterans MEM,"5,299,713",-5.31%,"42,700,159",2.15%
District of Columbia Washington Monument,District of Columbia,Washington Monument,"252,677",-48.80%,"42,700,159",2.15%
District of Columbia White House,District of Columbia,White House,"611,207",16.14%,"42,700,159",2.15%
District of Columbia World War II Memorial,District of Columbia,World War II Memorial,"4,856,532",-4.18%,"42,700,159",2.15%
Florida Big Cypress NPRES,Florida,Big Cypress NPRES,"1,102,148",-0.91%,"10,855,364",2.02%
Florida Biscayne NP,Florida,Biscayne NP,"514,709",1.29%,"10,855,364",2.02%
Florida Canaveral NS,Florida,Canaveral NS,"1,629,944",-3.54%,"10,855,364",2.02%
Florida Castillo de San Marcos NM,Florida,Castillo de San Marcos NM,"854,664",4.33%,"10,855,364",2.02%
Florida De Soto NMEM,Florida,De Soto NMEM,"232,463",-20.84%,"10,855,364",2.02%
Florida Dry Tortugas NP,Florida,Dry Tortugas NP,"73,661",3.95%,"10,855,364",2.02%
Florida Everglades NP,Florida,Everglades NP,"930,907",-13.60%,"10,855,364",2.02%
Florida Fort Caroline NMEM,Florida,Fort Caroline NMEM,"232,082",3.42%,"10,855,364",2.02%
Florida Fort Matanzas NM,Florida,Fort Matanzas NM,"557,810",-10.35%,"10,855,364",2.02%
Florida Gulf Islands NS,Florida,Gulf Islands NS,"3,578,482",19.98%,"10,855,364",2.02%
Florida Timucuan EHP,Florida,Timucuan EHP,"1,148,494",-7.34%,"10,855,364",2.02%
Georgia Andersonville NHS,Georgia,Andersonville NHS,"134,216",-1.81%,"7,040,865",-6.47%
Georgia Chattahoochee River NRA,Georgia,Chattahoochee River NRA,"2,736,385",-13.77%,"7,040,865",-6.47%
Georgia Chickamauga & Chattanooga NMP,Georgia,Chickamauga & Chattanooga NMP,"513,869",2.53%,"7,040,865",-6.47%
Georgia Cumberland Island NS,Georgia,Cumberland Island NS,"61,896",3.40%,"7,040,865",-6.47%
Georgia Fort Frederica NM,Georgia,Fort Frederica NM,"192,906",-4.59%,"7,040,865",-6.47%
Georgia Fort Pulaski NM,Georgia,Fort Pulaski NM,"344,921",-9.93%,"7,040,865",-6.47%
Georgia Jimmy Carter NHS,Georgia,Jimmy Carter NHS,"66,441",-2.00%,"7,040,865",-6.47%
Georgia Kennesaw Mountain NBP,Georgia,Kennesaw Mountain NBP,"2,360,256",8.52%,"7,040,865",-6.47%
"Georgia Martin Luther King, Jr. NHP",Georgia,"Martin Luther King, Jr. NHP","467,715",-30.58%,"7,040,865",-6.47%
Georgia Ocmulgee Mounds NHP,Georgia,Ocmulgee Mounds NHP,"162,260",4.42%,"7,040,865",-6.47%
Guam War in the Pacific NHP,Guam,War in the Pacific NHP,"488,988",51.64%,"488,988",51.64%
Hawaii Haleakala NP,Hawaii,Haleakala NP,"1,263,558",3.85%,"5,786,318",6.39%
Hawaii Hawaii Volcanoes NP,Hawaii,Hawaii Volcanoes NP,"1,887,580",3.00%,"5,786,318",6.39%
Hawaii Kalaupapa NHP,Hawaii,Kalaupapa NHP,"71,527",5.36%,"5,786,318",6.39%
Hawaii Kaloko Honokohau NHP,Hawaii,Kaloko Honokohau NHP,"185,041",8.41%,"5,786,318",6.39%
Hawaii Pearl Harbor NMEM,Hawaii,Pearl Harbor NMEM,"1,819,020",15.56%,"5,786,318",6.39%
Hawaii Pu'uhonua o Honaunau NHP,Hawaii,Pu'uhonua o Honaunau NHP,"421,027",-3.72%,"5,786,318",6.39%
Hawaii Pu'ukohola Heiau NHS,Hawaii,Pu'ukohola Heiau NHS,"138,565",-0.73%,"5,786,318",6.39%
Idaho City of Rocks NRES,Idaho,City of Rocks NRES,"107,865",2.45%,"629,191",4.56%
Idaho Craters of the Moon NM & PRES,Idaho,Craters of the Moon NM & PRES,"255,436",3.49%,"629,191",4.56%
Idaho Hagerman Fossil Beds NM,Idaho,Hagerman Fossil Beds NM,"25,982",5.21%,"629,191",4.56%
Idaho Nez Perce NHP,Idaho,Nez Perce NHP,"239,908",6.64%,"629,191",4.56%
Illinois Lincoln Home NHS,Illinois,Lincoln Home NHS,"239,719",2.75%,"239,719",2.75%
Indiana George Rogers Clark NHP,Indiana,George Rogers Clark NHP,"126,095",-7.18%,"1,949,880",3.29%
Indiana Indiana Dunes NP,Indiana,Indiana Dunes NP,"1,698,223",3.54%,"1,949,880",3.29%
Indiana Lincoln Boyhood NMEM,Indiana,Lincoln Boyhood NMEM,"125,562",12.40%,"1,949,880",3.29%
Iowa Effigy Mounds NM,Iowa,Effigy Mounds NM,"77,195",-5.75%,"229,577",9.82%
Iowa Herbert Hoover NHS,Iowa,Herbert Hoover NHS,"152,382",19.84%,"229,577",9.82%
Kansas Brown v. Board of Education NHS,Kansas,Brown v. Board of Education NHS,"27,968",10.38%,"121,249",4.61%
Kansas Fort Larned NHS,Kansas,Fort Larned NHS,"31,060",-3.45%,"121,249",4.61%
Kansas Fort Scott NHS,Kansas,Fort Scott NHS,"29,291",14.73%,"121,249",4.61%
Kansas Nicodemus NHS,Kansas,Nicodemus NHS,"3,552",7.44%,"121,249",4.61%
Kansas Tallgrass Prairie NPRES,Kansas,Tallgrass Prairie NPRES,"29,378",-0.61%,"121,249",4.61%
Kentucky Abraham Lincoln Birthplace NHP,Kentucky,Abraham Lincoln Birthplace NHP,"252,495",69.91%,"1,882,702",6.91%
Kentucky Big South Fork NRRA,Kentucky,Big South Fork NRRA,"280,733",6.47%,"1,882,702",6.91%
Kentucky Cumberland Gap NHP,Kentucky,Cumberland Gap NHP,"762,960",-2.40%,"1,882,702",6.91%
Kentucky Mammoth Cave NP,Kentucky,Mammoth Cave NP,"586,514",3.46%,"1,882,702",6.91%
Louisiana Cane River Creole NHP,Louisiana,Cane River Creole NHP,"26,863",-13.01%,"500,797",1.23%
Louisiana Jean Lafitte NHP & PRES,Louisiana,Jean Lafitte NHP & PRES,"438,420",8.09%,"500,797",1.23%
Louisiana New Orleans Jazz NHP,Louisiana,New Orleans Jazz NHP,"35,514",-38.97%,"500,797",1.23%
Maine Acadia NP,Maine,Acadia NP,"3,303,393",17.51%,"3,317,250",17.48%
Maine Saint Croix Island IHS,Maine,Saint Croix Island IHS,"13,857",10.35%,"3,317,250",17.48%
Maryland Antietam NB,Maryland,Antietam NB,"351,911",1.36%,"6,668,215",3.49%
Maryland Assateague Island NS,Maryland,Assateague Island NS,"748,381",-0.34%,"6,668,215",3.49%
Maryland Catoctin Mountain Park,Maryland,Catoctin Mountain Park,"221,750",-3.29%,"6,668,215",3.49%
Maryland Chesapeake & Ohio Canal NHP,Maryland,Chesapeake & Ohio Canal NHP,"3,657,939",0.31%,"6,668,215",3.49%
Maryland Clara Barton NHS,Maryland,Clara Barton NHS,0,-100.00%,"6,668,215",3.49%
Maryland Fort McHenry NM & HS,Maryland,Fort McHenry NM & HS,"610,987",-1.12%,"6,668,215",3.49%
Maryland Fort Washington Park,Maryland,Fort Washington Park,"560,358",66.06%,"6,668,215",3.49%
Maryland Greenbelt Park,Maryland,Greenbelt Park,"137,900",1.95%,"6,668,215",3.49%
Maryland Hampton NHS,Maryland,Hampton NHS,"34,942",0.74%,"6,668,215",3.49%
Maryland Monocacy NB,Maryland,Monocacy NB,"87,547",35.53%,"6,668,215",3.49%
Maryland National Capital Parks East,Maryland,National Capital Parks East,"122,467",0.35%,"6,668,215",3.49%
Maryland Piscataway Park,Maryland,Piscataway Park,"123,381",-17.04%,"6,668,215",3.49%
Maryland Thomas Stone NHS,Maryland,Thomas Stone NHS,"10,652",84.55%,"6,668,215",3.49%
Massachusetts Adams NHP,Massachusetts,Adams NHP,"199,301",8.53%,"10,127,182",7.74%
Massachusetts Boston African American NHS,Massachusetts,Boston African American NHS,"414,170",0.43%,"10,127,182",7.74%
Massachusetts Boston NHP,Massachusetts,Boston NHP,"2,594,495",14.66%,"10,127,182",7.74%
Massachusetts Cape Cod NS,Massachusetts,Cape Cod NS,"4,692,796",4.21%,"10,127,182",7.74%
Massachusetts Frederick Law Olmsted NHS,Massachusetts,Frederick Law Olmsted NHS,"8,935",-5.68%,"10,127,182",7.74%
Massachusetts John F. Kennedy NHS,Massachusetts,John F. Kennedy NHS,"25,467",37.77%,"10,127,182",7.74%
Massachusetts Longfellow House Washington's HQ NHS,Massachusetts,Longfellow House Washington's HQ NHS,"49,697",-2.14%,"10,127,182",7.74%
Massachusetts Lowell NHP,Massachusetts,Lowell NHP,"541,825",2.03%,"10,127,182",7.74%
Massachusetts Minute Man NHP,Massachusetts,Minute Man NHP,"1,049,414",8.82%,"10,127,182",7.74%
Massachusetts New Bedford Whaling NHP,Massachusetts,New Bedford Whaling NHP,"145,500",-13.28%,"10,127,182",7.74%
Massachusetts Salem Maritime NHS,Massachusetts,Salem Maritime NHS,"371,989",40.49%,"10,127,182",7.74%
Massachusetts Saugus Iron Works NHS,Massachusetts,Saugus Iron Works NHS,"11,159",19.64%,"10,127,182",7.74%
Massachusetts Springfield Armory NHS,Massachusetts,Springfield Armory NHS,"22,434",2.79%,"10,127,182",7.74%
Michigan Isle Royale NP,Michigan,Isle Royale NP,"24,966",33.62%,"2,702,934",13.25%
Michigan Keweenaw NHP,Michigan,Keweenaw NHP,"14,612",,"2,702,934",13.25%
Michigan Pictured Rocks NL,Michigan,Pictured Rocks NL,"777,428",7.50%,"2,702,934",13.25%
Michigan River Raisin NBP,Michigan,River Raisin NBP,"202,375",85.46%,"2,702,934",13.25%
Michigan Sleeping Bear Dunes NL,Michigan,Sleeping Bear Dunes NL,"1,683,553",9.63%,"2,702,934",13.25%
Minnesota Grand Portage NM,Minnesota,Grand Portage NM,"95,862",4.48%,"1,016,336",20.99%
Minnesota Mississippi NRRA,Minnesota,Mississippi NRRA,"256,944",101.31%,"1,016,336",20.99%
Minnesota Pipestone NM,Minnesota,Pipestone NM,"67,489",-4.61%,"1,016,336",20.99%
Minnesota Saint Croix NSR,Minnesota,Saint Croix NSR,"354,129",13.66%,"1,016,336",20.99%
Minnesota Voyageurs NP,Minnesota,Voyageurs NP,"241,912",1.51%,"1,016,336",20.99%
Mississippi Gulf Islands NS,Mississippi,Gulf Islands NS,"1,192,827",19.98%,"6,618,913",4.08%
Mississippi Natchez NHP,Mississippi,Natchez NHP,"204,120",-0.10%,"6,618,913",4.08%
Mississippi Natchez Trace PKWY,Mississippi,Natchez Trace PKWY,"4,713,052",1.82%,"6,618,913",4.08%
Mississippi Vicksburg NMP,Mississippi,Vicksburg NMP,"508,914",-4.42%,"6,618,913",4.08%
Missouri Gateway Arch NP,Missouri,Gateway Arch NP,"1,271,855",-25.13%,"2,824,117",-13.03%
Missouri George Washington Carver NM,Missouri,George Washington Carver NM,"46,397",22.92%,"2,824,117",-13.03%
Missouri Harry S Truman NHS,Missouri,Harry S Truman NHS,"34,616",5.46%,"2,824,117",-13.03%
Missouri Ozark NSR,Missouri,Ozark NSR,"1,241,480",-2.85%,"2,824,117",-13.03%
Missouri Ulysses S. Grant NHS,Missouri,Ulysses S. Grant NHS,"46,071",17.99%,"2,824,117",-13.03%
Missouri Wilson's Creek NB,Missouri,Wilson's Creek NB,"183,698",14.10%,"2,824,117",-13.03%
Montana Big Hole NB,Montana,Big Hole NB,"41,795",5.68%,"5,655,262",13.84%
Montana Bighorn Canyon NRA,Montana,Bighorn Canyon NRA,"140,122",5.84%,"5,655,262",13.84%
Montana Glacier NP,Montana,Glacier NP,"2,946,681",24.54%,"5,655,262",13.84%
Montana Grant-Kohrs Ranch NHS,Montana,Grant-Kohrs Ranch NHS,"23,176",4.68%,"5,655,262",13.84%
Montana Little Bighorn Battlefield NM,Montana,Little Bighorn Battlefield NM,"332,328",4.58%,"5,655,262",13.84%
Montana Yellowstone NP,Montana,Yellowstone NP,"2,171,160",3.89%,"5,655,262",13.84%
Nebraska Agate Fossil Beds NM,Nebraska,Agate Fossil Beds NM,"15,555",17.27%,"307,208",5.48%
Nebraska Homestead NM of America,Nebraska,Homestead NM of America,"87,755",11.45%,"307,208",5.48%
Nebraska Niobrara NSR,Nebraska,Niobrara NSR,"73,813",8.37%,"307,208",5.48%
Nebraska Scotts Bluff NM,Nebraska,Scotts Bluff NM,"130,085",-0.79%,"307,208",5.48%
Nevada Death Valley NP,Nevada,Death Valley NP,,,"5,526,764",-1.13%
Nevada Great Basin NP,Nevada,Great Basin NP,"144,846",24.73%,"5,526,764",-1.13%
Nevada Lake Mead NRA,Nevada,Lake Mead NRA,"5,381,918",-1.68%,"5,526,764",-1.13%
New Hampshire Saint-Gaudens NHP,New Hampshire,Saint-Gaudens NHP,"42,377",7.99%,"42,377",7.99%
New Jersey Delaware Water Gap NRA,New Jersey,Delaware Water Gap NRA,"2,611,198",-1.54%,"4,829,258",14.83%
New Jersey Gateway NRA,New Jersey,Gateway NRA,"1,730,354",35.34%,"4,829,258",14.83%
New Jersey Morristown NHP,New Jersey,Morristown NHP,"252,514",15.32%,"4,829,258",14.83%
New Jersey Paterson Great Falls NHP,New Jersey,Paterson Great Falls NHP,"177,498",,"4,829,258",14.83%
New Jersey Thomas Edison NHP,New Jersey,Thomas Edison NHP,"57,694",2.45%,"4,829,258",14.83%
New Mexico Aztec Ruins NM,New Mexico,Aztec Ruins NM,"57,692",8.52%,"1,872,044",9.18%
New Mexico Bandelier NM,New Mexico,Bandelier NM,"198,478",14.02%,"1,872,044",9.18%
New Mexico Capulin Volcano NM,New Mexico,Capulin Volcano NM,"60,132",8.33%,"1,872,044",9.18%
New Mexico Carlsbad Caverns NP,New Mexico,Carlsbad Caverns NP,"466,773",4.72%,"1,872,044",9.18%
New Mexico Chaco Culture NHP,New Mexico,Chaco Culture NHP,"54,084",38.98%,"1,872,044",9.18%
New Mexico El Malpais NM,New Mexico,El Malpais NM,"157,440",-9.74%,"1,872,044",9.18%
New Mexico El Morro NM,New Mexico,El Morro NM,"59,422",20.31%,"1,872,044",9.18%
New Mexico Fort Union NM,New Mexico,Fort Union NM,"11,953",1.94%,"1,872,044",9.18%
New Mexico Gila Cliff Dwellings NM,New Mexico,Gila Cliff Dwellings NM,"41,519",13.69%,"1,872,044",9.18%
New Mexico Manhattan Project NHP,New Mexico,Manhattan Project NHP,"12,452",,"1,872,044",9.18%
New Mexico Pecos NHP,New Mexico,Pecos NHP,"39,715",31.38%,"1,872,044",9.18%
New Mexico Petroglyph NM,New Mexico,Petroglyph NM,"124,177",5.39%,"1,872,044",9.18%
New Mexico Salinas Pueblo Missions NM,New Mexico,Salinas Pueblo Missions NM,"32,414",9.24%,"1,872,044",9.18%
New Mexico White Sands NP,New Mexico,White Sands NP,"555,793",11.72%,"1,872,044",9.18%
New York African Burial Ground NM,New York,African Burial Ground NM,"46,526",-17.43%,"18,904,528",15.78%
New York Castle Clinton NM,New York,Castle Clinton NM,"4,812,930",4.70%,"18,904,528",15.78%
New York Eleanor Roosevelt NHS,New York,Eleanor Roosevelt NHS,"63,480",-2.02%,"18,904,528",15.78%
New York Federal Hall NMEM,New York,Federal Hall NMEM,"314,531",82.83%,"18,904,528",15.78%
New York Fire Island NS,New York,Fire Island NS,"431,303",-2.40%,"18,904,528",15.78%
New York Fort Stanwix NM,New York,Fort Stanwix NM,"94,006",8.45%,"18,904,528",15.78%
New York Gateway NRA,New York,Gateway NRA,"6,921,416",35.34%,"18,904,528",15.78%
New York General Grant NMEM,New York,General Grant NMEM,"109,151",14.26%,"18,904,528",15.78%
New York Governors Island NM,New York,Governors Island NM,"522,859",19.21%,"18,904,528",15.78%
New York Hamilton Grange NMEM,New York,Hamilton Grange NMEM,"85,348",140.78%,"18,904,528",15.78%
New York Home of Franklin D. Roosevelt NHS,New York,Home of Franklin D. Roosevelt NHS,"193,272",7.13%,"18,904,528",15.78%
New York Martin Van Buren NHS,New York,Martin Van Buren NHS,"22,100",19.16%,"18,904,528",15.78%
New York Sagamore Hill NHS,New York,Sagamore Hill NHS,"53,920",27.39%,"18,904,528",15.78%
New York Saint Paul's Church NHS,New York,Saint Paul's Church NHS,"20,830",21.25%,"18,904,528",15.78%
New York Saratoga NHP,New York,Saratoga NHP,"102,808",58.14%,"18,904,528",15.78%
New York Statue of Liberty NM,New York,Statue of Liberty NM,"4,501,547",5.20%,"18,904,528",15.78%
New York Theodore Roosevelt Birthplace NHS,New York,Theodore Roosevelt Birthplace NHS,"6,582",-1.54%,"18,904,528",15.78%
New York Theodore Roosevelt Inaugural NHS,New York,Theodore Roosevelt Inaugural NHS,"29,199",17.28%,"18,904,528",15.78%
New York Upper Delaware S&RR,New York,Upper Delaware S&RR,"132,181",8.68%,"18,904,528",15.78%
